supplierID,supplierName,contactName,contactTitle,address,city,region,postalCode,country,phone
1,Exotic Liquids,Charlotte Cooper,Purchasing Manager,49 Gilbert St.,London,NULL,EC1 4SD,UK,(171) 555-2222
10,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,Sao Paulo,NULL,5442,Brazil,(11) 555 4640
11,Heli SÃ¼ÃŸwaren GmbH & Co. KG,Petra Winkler,Sales Manager,TiergartenstraÃŸe 5,Berlin,NULL,10785,Germany,(010) 9984510
12,Plutzer LebensmittelgroÃŸmÃ¤rkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,NULL,60439,Germany,(069) 992755
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Frahmredder 112a,Cuxhaven,NULL,27478,Germany,(04721) 8713
14,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,Viale Dante, 75,Ravenna,NULL,48100,Italy
15,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,NULL,1320,Norway,(0)2-953010
16,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA,(503) 555-9931
17,Svensk SjÃ¶fÃ¶da AB,Michael BjÃ¶rn,Sales Representative,BrovallavÃ¤gen 231,Stockholm,NULL,S-123 45,Sweden,08-123 45 67
18,Aux joyeux ecclÃ©siastiques,GuylÃ¨ne Nodier,Sales Manager,203, Rue des Francs-Bourgeois,Paris,NULL,75004,France
19,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA,(617) 555-3267
2,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,70117,USA,(100) 555-4822
20,Leka Trading,Chandra Leka,Owner,471 Serangoon Loop, Suite #402,Singapore,NULL,0512,Singapore
21,Lyngbysild,Niels Petersen,Sales Manager,Lyngbysild Fiskebakken 10,Lyngby,NULL,2800,Denmark,43844108
22,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Verkoop Rijnweg 22,Zaandam,NULL,9999 ZZ,Netherlands,(12345) 1212
23,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,NULL,53120,Finland,(953) 10956
24,G'day, Mate,Wendy Mackenzie,Sales Representative,170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia
25,Ma Maison,Jean-Guy Lauzon,Marketing Manager,2960 Rue St. Laurent,MontrÃ©al,QuÃ©bec,H1J 1C3,Canada,(514) 555-9022
26,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,Via dei Gelsomini, 153,Salerno,NULL,84100,Italy
27,Escargots Nouveaux,Marie Delamare,Sales Manager,22, rue H. Voiron,Montceau,NULL,71300,France
28,Gai pÃ¢turage,Eliane Noz,Sales Representative,Bat. B 3, rue des Alpes,Annecy,NULL,74000,France
29,ForÃªts d'Ã©rables,Chantal Goulet,Accounting Manager,148 rue Chasseur,Ste-Hyacinthe,QuÃ©bec,J2S 7S8,Canada,(514) 555-2955
3,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,707 Oxford Rd.,Ann Arbor,MI,48104,USA,(313) 555-5735
4,Tokyo Traders,Yoshi Nagase,Marketing Manager,9-8 Sekimai Musashino-shi,Tokyo,NULL,100,Japan,(03) 3555-5011
5,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54
6,Mayumi's,Mayumi Ohno,Marketing Representative,92 Setsuko Chuo-ku,Osaka,NULL,545,Japan,(06) 431-7877
7,Pavlova, Ltd.,Ian Devling,Marketing Manager,74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia
8,Specialty Biscuits, Ltd.,Peter Wilson,Sales Representative,29 King's Way,Manchester,NULL,M14 GSD,UK
9,PB KnÃ¤ckebrÃ¶d AB,Lars Peterson,Sales Agent,Kaloadagatan 13,GÃ¶teborg,NULL,S-345 67,Sweden,031-987 65 43